postcode,defunct (y/n) [as of September 2022],if when (M/Y),eastings,northings,latitude,longitude,town,region,country,country_string,
SW16,Y,February 2010,530200,170900,51.42165,-0.12722,Lambeth,Greater London,ENG,England,
SW6,Y,February 2010,525000,176900,51.47675,-0.19986,Hammersmith,Greater London,ENG,England,
TA6,Y,February 2007,330100,136700,51.12479,-2.99895,Bridgwater,Somerset,ENG,England,
TD6,N,,356300,632300,55.58238,-2.6933,Newtown St Boswells,The Scottish Borders,SCT,Scotland,
TN16,Y,November 2019,543100,157000,51.29362,0.05262,,Greater London,ENG,England,
TN6,Y,September 2007,552400,130400,51.05216,0.17464,Crowborough,East Sussex,ENG,England,
TQ6,N,,287000,50900,50.34655,-3.58837,Dartmouth,Devon,ENG,England,
TS16,N,,441900,514500,54.52393,-1.35257,Egglescliffe,Stockton-on-Tees,ENG,England,
TS26,N,,449700,532800,54.68768,-1.22895,,Hartlepool,ENG,England,
TS6,N,,454800,519300,54.56583,-1.15236,Redcar,Redcar and Cleveland,ENG,England,
TW16,N,August 2017,510200,169700,51.4151,-0.41514,Staines,Surrey,ENG,England,
UB6,Y,December 1992,514900,183600,51.53911,-0.34306,Southall,Greater London,ENG,England,
W6,N,,523000,178600,51.49246,-0.22805,Hammersmith,Greater London,ENG,England,
WA16,N,,375300,378500,53.3026,-2.37068,Knutsford,Cheshire East,ENG,England,
WA6,N,,351800,375300,53.27222,-2.72285,Frodsham,Cheshire West and Chester,ENG,England,
WD6,Y,October 2006,519300,196800,51.65684,-0.27514,Borehamwood,Hertfordshire,ENG,England,
WF16,N,,421900,423800,53.70994,-1.66817,Dewsbury,Kirklees,ENG,England,
WS6,N,,398500,306700,52.65767,-2.02218,Great Wyrley,Staffordshire,ENG,England,
WV16,Y,December 2010,370100,290500,52.5112,-2.44062,Chetton,Shropshire,ENG,England,
WV6,N,,387700,299800,52.5955,-2.18161,,Wolverhampton,ENG,England,
